2017-05-05 00:35:59.303640,858162,948870,G3722L,Computers & Tablets,Uniden Guardian G3722L Full HD Wireless Surveillance System with 4 Cameras,UNIDEN,2017-04-27,https://www.jbhifi.com.au/computers-tablets/smart-home/uniden/uniden-guardian-g3722l-full-hd-wireless-surveillance-system-with-4-cameras/948870/
2017-05-05 00:53:47.650891,837616,974840,KTEPS4-0040,Gaming,Romance of the Three Kingdoms XIII,PLAYSTATION 4,2016-07-07,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/romance-of-the-three-kingdoms-xiii/974840/
2017-05-05 00:53:51.717520,832797,951925,KTEPS4-0045,Gaming,Atelier Sophie: The Alchemist of the Mysterious Book,PLAYSTATION 4,2016-06-10,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/atelier-sophie-the-alchemist-of-the-mysterious-book/951925/
2017-05-05 00:53:56.041228,825945,930452,CUSA-03866,Gaming,Nights of Azure,PLAYSTATION 4,2016-04-08,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/nights-of-azure/930452/
2017-05-05 00:54:00.300233,823090,887986,KTE-0020,Gaming,Samurai Warriors 4: Empires,PLAYSTATION 4,2016-03-11,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/samurai-warriors-4-empires/887986/
2017-05-05 00:54:04.337110,823109,888034,KTEXBO-0025,Gaming,Arslan: The Warriors of Legend,XBOX ONE,2016-02-12,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/arslan-the-warriors-of-legend/888034/
2017-05-05 00:54:08.446595,823094,887985,KTE-0025,Gaming,Arslan: The Warriors of Legend,PLAYSTATION 4,2016-02-12,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/arslan-the-warriors-of-legend/887985/
2017-05-05 00:54:12.625536,813192,770667,770667,Gaming,Samurai Warriors 4 – II,PLAYSTATION 4,2015-10-02,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/samurai-warriors-4-ii/770667/
2017-05-05 00:54:16.959404,813190,770682,KTE-0015,Gaming,Nobunaga’s Ambition: Sphere of Influence,PLAYSTATION 4,2015-09-04,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/nobunagas-ambition-sphere-of-influence/770682/
2017-05-05 00:54:21.310711,812723,766492,KTE-0005,Gaming,Deception IV : The Nightmare Princess,PLAYSTATION 4,2015-07-17,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/deception-iv-the-nightmare-princess/766492/
2017-05-05 00:54:29.083256,794691,659633,E111190,Gaming,Bladestorm Nightmare,XBOX ONE,2015-03-19,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/bladestorm-nightmare/659633/
2017-05-05 00:54:33.094483,794692,659632,E111189,Gaming,Bladestorm Nightmare,PLAYSTATION 4,2015-03-19,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/bladestorm-nightmare/659632/
2017-05-05 00:54:37.211251,794689,659631,E111192,Gaming,Dynasty Warriors 8 Empires,XBOX ONE,2015-02-26,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/dynasty-warriors-8-empires/659631/
2017-05-05 00:54:41.435890,794690,659630,E111191,Gaming,Dynasty Warriors 8 Empires,PLAYSTATION 4,2015-02-26,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/dynasty-warriors-8-empires/659630/
2017-05-05 00:54:45.505834,782900,569104,E110868,Gaming,Samurai Warriors 4,PLAYSTATION 4,2014-10-23,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/samurai-warriors-4/569104/
