2017-04-06 00:30:26.370887,855441,402815,1PL58PA#ABG,Computers & Tablets,HP 15-AY150TU 15.6" Touchscreen Notebook,HP,2017-04-01,https://www.jbhifi.com.au/computers-tablets/laptops/hp/hp-15-ay150tu-15-6-touchscreen-notebook/402815/
2017-04-06 00:51:47.995641,850717,331986,331986,Gaming,Wipeout Omega Collection,SONY COMP,2017-06-07,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/wipeout-omega-collection/331986/
2017-04-06 01:06:19.028436,854761,350434,R-123650-9,Movies & TV Shows,Brian Cox: Life Of A Universe,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-special-interest/brian-cox-life-of-a-universe/350434/
2017-04-06 01:06:23.107043,856268,421160,R-125419-9,Movies & TV Shows,Dinosaur Train: Pteranodon Party!,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-pre-school/dinosaur-train-pteranodon-party/421160/
2017-04-06 01:06:27.394872,856281,421176,R-125460-9,Movies & TV Shows,Raa Raa The Noisy Lion: Lion's Share,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-pre-school/raa-raa-the-noisy-lion-lions-share/421176/
2017-04-06 01:06:31.824566,856334,421168,R-126631-9,Movies & TV Shows,Last Ship- The - Season 3,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-action/last-ship-the-season-3/421168/
2017-04-06 01:06:35.664548,856339,421172,R-124509-8,Movies & TV Shows,Last Ship- The - Season 3,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-action/last-ship-the-season-3/421172/
2017-04-06 01:06:39.796659,856272,421184,R-127560-9,Movies & TV Shows,Unforgotten - Series 2,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-crime/unforgotten-series-2/421184/
2017-04-06 01:06:44.020800,856273,421156,R-127546-9,Movies & TV Shows,Collection- The,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-drama/collection-the/421156/
2017-04-06 01:06:51.417652,856336,421188,R-128692-9,Movies & TV Shows,Wynonna Earp - Series 1,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-drama/wynonna-earp-series-1/421188/
2017-04-06 01:06:55.031644,856338,421192,R-125101-8,Movies & TV Shows,Wynonna Earp - Series 1,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-drama/wynonna-earp-series-1/421192/
2017-04-06 01:06:59.156066,854765,350430,R-126381-9,Movies & TV Shows,Yu-Gi-Oh - Season 4,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/yu-gi-oh-season-4/350430/
2017-04-06 01:07:03.310983,856276,421180,R-123346-9,Movies & TV Shows,Silent Witness - Season 19 & 20,ROADSHOW,2017-05-03,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-drama/silent-witness-season-19-20/421180/
2017-04-06 01:15:53.098611,509746,286008,51414SDO,Movies & TV Shows,How I Met Your Mother - Season 6,20TH CENTURY FOX,2011-10-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-comedy/how-i-met-your-mother-season-6/286008/
2017-04-06 01:16:05.734196,856943,422118,812279352,Music,Foreigner 40 (Vinyl),WARNER,2017-06-02,https://www.jbhifi.com.au/music/Whats-Hot/rock/foreigner-40-vinyl/422118/
2017-04-06 01:16:18.348768,856941,422130,9029584526,Music,A Kind Revolution (Vinyl),WARNER,2017-05-12,https://www.jbhifi.com.au/music/Whats-Hot/rock-pop/a-kind-revolution-vinyl/422130/
2017-04-06 01:18:00.971148,856866,422125,5728086,Music,Gentle On My Mind (Vinyl) (Reissue),UMA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/country/gentle-on-my-mind-vinyl-reissue/422125/
2017-04-06 01:18:05.098094,856867,422141,COOKLP662,Music,Last Rider- The (Vinyl),UMA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/alternative/last-rider-the-vinyl/422141/
2017-04-06 01:18:09.632783,856868,422112,IVY356,Music,Rubens- The (Limited Edition White Vinyl),UMA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/alternative/rubens-the-limited-edition-white-vinyl/422112/
2017-04-06 01:18:13.500179,856869,422129,5728091,Music,Wichita Lineman (Vinyl) (Reissue),UMA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/country/wichita-lineman-vinyl-reissue/422129/
2017-04-06 01:18:17.399699,856870,422117,FCL154LP,Music,Ideas Of Aesthetics (Limited Edition 12in Vinyl),UMA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/electronic/ideas-of-aesthetics-limited-edition-12in-vinyl/422117/
2017-04-06 01:18:21.740694,856871,422121,5728083,Music,Galveston (Vinyl) (Reissue),UMA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/country/galveston-vinyl-reissue/422121/
2017-04-06 01:18:25.966558,856883,422209,88985369821,Music,Smokie: The Concert (Live In Essen 1978) (180gm Vinyl),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/rock/smokie-the-concert-live-in-essen-1978-180gm-vinyl/422209/
2017-04-06 01:18:30.132923,856884,422205,88985406981,Music,Acoustica (180gm Vinyl),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/hard-rock/acoustica-180gm-vinyl/422205/
2017-04-06 01:18:34.407891,856885,422201,88985414321,Music,American Teen (Vinyl),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/singer-songwriter-pop/american-teen-vinyl/422201/
2017-04-06 01:18:38.167124,856882,422217,88985416831,Music,With Primeval Force (Vinyl),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/death-metal-metal/with-primeval-force-vinyl/422217/
2017-04-06 01:18:42.542060,856886,422213,MOVCL031,Music,Score (Limited Edition 180gm Vinyl),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/classical-crossover/score-limited-edition-180gm-vinyl/422213/
2017-04-06 01:18:50.718348,856902,422249,88985357251,Music,Are You Ready: The RCA Years (Limited Deluxe Edition Vinyl Box Set),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/rock/are-you-ready-the-rca-years-limited-deluxe-edition-vinyl-box-set/422249/
2017-04-06 01:20:34.218058,856923,422266,POW2286,Music,Eric Clapton & Friends,ONLY BLUES,2017-04-04,https://www.jbhifi.com.au/music/browse/blues-rock-pop/eric-clapton-friends/422266/
2017-04-06 01:20:38.707894,856924,422056,POW2292,Music,Dylan Meets Sinatra,ONLY BLUES,2017-04-04,https://www.jbhifi.com.au/music/browse/folk-pop-vocal/dylan-meets-sinatra/422056/
2017-04-06 01:22:24.983596,856922,422253,BCM1102,Music,Ruthie Foster - Live At Antone's,ONLY BLUES,2017-04-04,https://www.jbhifi.com.au/music/browse/blues/ruthie-foster-live-at-antones/422253/
2017-04-06 01:22:29.745411,856920,422257,BCM1503,Music,Runaway Soul,ONLY BLUES,2017-04-04,https://www.jbhifi.com.au/music/browse/blues/runaway-soul/422257/
2017-04-06 01:22:34.199600,856921,422261,EMSC1203,Music,B.B. King: Four Classic Albums,ONLY BLUES,2017-04-04,https://www.jbhifi.com.au/music/browse/blues/b-b-king-four-classic-albums/422261/
