2017-05-06 00:30:31.834715,851802,331375,UX360UAK-C4197T,Computers & Tablets,Asus Zenbook Flip UX360UAK 13.3" 2-in-1 Laptop,ASUS,2017-01-20,https://www.jbhifi.com.au/computers-tablets/laptops/asus/asus-zenbook-flip-ux360uak-13-3-2-in-1-laptop/331375/
2017-05-06 00:38:20.534664,857427,442922,TH-55EX600A,TV & Home Entertainment,Panasonic TH-55EX600A 55" UHD HDR Smart LED LCD TV,PANASONIC,2017-05-08,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/panasonic/panasonic-th-55ex600a-55-uhd-hdr-smart-led-lcd-tv/442922/
2017-05-06 00:38:24.513509,857426,442921,TH-49EX600A,TV & Home Entertainment,Panasonic TH-49EX600A 49" UHD HDR Smart LED LCD TV,PANASONIC,2017-05-08,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/panasonic/panasonic-th-49ex600a-49-uhd-hdr-smart-led-lcd-tv/442921/
2017-05-06 00:38:28.736987,857428,442920,TH-43EX600A,TV & Home Entertainment,Panasonic TH-43EX600A 43" UHD HDR Smart LED LCD TV,PANASONIC,2017-05-08,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/panasonic/panasonic-th-43ex600a-43-uhd-hdr-smart-led-lcd-tv/442920/
2017-05-06 00:38:31.629871,857628,444534,50N6,TV & Home Entertainment,Hisense 50N6 50" UHD Smart LED LCD TV,HISENSE,2017-05-01,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/hisense/hisense-50n6-50-uhd-smart-led-lcd-tv/444534/
2017-05-06 00:38:34.481271,857641,444535,55N6,TV & Home Entertainment,Hisense 55N6 55" UHD Smart LED LCD TV,HISENSE,2017-05-01,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/hisense/hisense-55n6-55-uhd-smart-led-lcd-tv/444535/
2017-05-06 00:38:38.801307,857626,444531,50N4,TV & Home Entertainment,Hisense 50N4 50" FHD Smart LED LCD TV,HISENSE,2017-04-24,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/hisense/hisense-50n4-50-fhd-smart-led-lcd-tv/444531/
2017-05-06 00:56:20.946489,858757,445860,MCF11992-3,Gaming,Destiny - "Iron Banner" Hunter Action Figure,MCFARLANE TOYS,2017-09-08,https://www.jbhifi.com.au/games-consoles/platforms/mcfarlane-toys/destiny-iron-banner-hunter-action-figure/445860/
2017-05-06 00:56:25.255888,858759,445862,MCF11992-1,Gaming,Destiny - "Kings Fall" Warlock Action Figure,MCFARLANE TOYS,2017-09-08,https://www.jbhifi.com.au/games-consoles/platforms/mcfarlane-toys/destiny-kings-fall-warlock-action-figure/445862/
2017-05-06 00:56:29.747424,858760,445861,MCF11992-2,Gaming,Destiny - "Vault of Glass" Titan Action Figure,MCFARLANE TOYS,2017-09-08,https://www.jbhifi.com.au/games-consoles/platforms/mcfarlane-toys/destiny-vault-of-glass-titan-action-figure/445861/
2017-05-06 00:59:46.571951,858761,445859,FUN14066,Gaming,Overwatch - D.Va with MEKA (Carbon Fibre) 6" Pop! Vinyl Figure,FUNKO,2017-05-15,https://www.jbhifi.com.au/games-consoles/platforms/funko/overwatch-d-va-with-meka-carbon-fibre-6-pop-vinyl-figure/445859/
2017-05-06 01:21:59.622869,837069,973381,BDH2540,Movies & TV Shows,Queen Of The Desert,UNISPHE,2016-09-29,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/queen-of-the-desert/973381/
2017-05-06 01:22:08.101985,830923,950704,BDA46966,Movies & TV Shows,Bourne Supremacy- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-supremacy-the/950704/
2017-05-06 01:22:12.784370,830927,950716,D47179,Movies & TV Shows,Bourne Ultimatum- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-ultimatum-the/950716/
2017-05-06 01:22:17.339518,830928,950708,D46966,Movies & TV Shows,Bourne Supremacy- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-supremacy-the/950708/
2017-05-06 01:22:22.021976,830978,950688,BDC87268,Movies & TV Shows,Bourne Legacy- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-legacy-the/950688/
2017-05-06 01:22:26.349573,830931,950679,D32936,Movies & TV Shows,Bourne Identity- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-identity-the/950679/
2017-05-06 01:22:30.877363,830979,950675,BDA32936,Movies & TV Shows,Bourne Identity- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-identity-the/950675/
2017-05-06 01:22:35.581210,830922,950712,BDA47179,Movies & TV Shows,Bourne Ultimatum- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-ultimatum-the/950712/
2017-05-06 01:22:39.949561,830930,950692,DA87268,Movies & TV Shows,Bourne Legacy- The,UNISPHE,2016-06-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/bourne-legacy-the/950692/
2017-05-06 01:22:44.632311,827158,889401,64009SDG,Movies & TV Shows,Deadpool,20TH CENTURY FOX,2016-05-25,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/action/deadpool/889401/
2017-05-06 01:22:49.317164,826758,936474,DH0023,Movies & TV Shows,Big Short- The,UNISPHE,2016-05-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/big-short-the/936474/
2017-05-06 01:22:53.976358,826793,936478,BDH0023,Movies & TV Shows,Big Short- The,UNISPHE,2016-05-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/big-short-the/936478/
2017-05-06 01:22:58.832689,819086,806478,BDG5025,Movies & TV Shows,Macbeth,UNISPHE,2016-02-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/macbeth/806478/
