2017-04-08 00:42:50.774487,391633,13402,DX-C390,TV & Home Entertainment,Onkyo DXC390 6-Disc Carousel CD-Player,ONKYO,2016-10-09,https://www.jbhifi.com.au/tv-home-entertainment/players-recorders/onkyo/onkyo-dxc390-6-disc-carousel-cd-player/13402/
2017-04-08 00:50:55.146081,857057,403971,403971,Gaming,Ultra Street Fighter II: The Final Challengers,NINTENDO SWITCH,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/nintendo-switch/ultra-street-fighter-ii-the-final-challengers/403971/
2017-04-08 00:55:28.609260,852652,349631,SS-0285,Gaming,SteelSeries Rival 300 CS:GO Hyper Beast Edition Gaming Mouse,STEELSERIES,2017-04-14,https://www.jbhifi.com.au/games-consoles/platforms/gaming-mouse/steelseries-rival-300-csgo-hyper-beast-edition-gaming-mouse/349631/
2017-04-08 00:56:29.698713,856816,398902,FUN13630,Gaming,Batman (1966) - Mr. Freeze Pop! Vinyl Figure,FUNKO,2017-05-28,https://www.jbhifi.com.au/games-consoles/platforms/funko/batman-1966-mr-freeze-pop-vinyl-figure/398902/
2017-04-08 00:56:33.751433,856819,398903,FUN13632,Gaming,Batman (1966) - Batgirl Pop! Vinyl Figure,FUNKO,2017-05-28,https://www.jbhifi.com.au/games-consoles/platforms/funko/batman-1966-batgirl-pop-vinyl-figure/398903/
2017-04-08 00:56:37.838915,856814,398900,FUN13628,Gaming,Batman (1966) - Riddler Pop! Vinyl Figure,FUNKO,2017-05-28,https://www.jbhifi.com.au/games-consoles/platforms/funko/batman-1966-riddler-pop-vinyl-figure/398900/
2017-04-08 00:56:42.064237,856817,398901,FUN13629,Gaming,Batman (1966) - Penguin Pop! Vinyl Figure,FUNKO,2017-05-28,https://www.jbhifi.com.au/games-consoles/platforms/funko/batman-1966-penguin-pop-vinyl-figure/398901/
2017-04-08 00:56:46.143128,856818,398904,FUN13826,Gaming,Batman (1966) - King Tut Pop! Vinyl Figure,FUNKO,2017-05-28,https://www.jbhifi.com.au/games-consoles/platforms/funko/batman-1966-king-tut-pop-vinyl-figure/398904/
2017-04-08 00:56:50.264172,857142,398918,FUN13994,Gaming,BoJack Horseman – Todd Pop! Vinyl Figure,FUNKO,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/funko/bojack-horseman-todd-pop-vinyl-figure/398918/
2017-04-08 00:56:54.258717,857146,398915,FUN13991,Gaming,BoJack Horseman – Diane Pop! Vinyl Figure,FUNKO,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/funko/bojack-horseman-diane-pop-vinyl-figure/398915/
2017-04-08 00:56:58.331352,857148,398914,FUN13990,Gaming,BoJack Horseman – BoJack Pop! Vinyl Figure,FUNKO,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/funko/bojack-horseman-bojack-pop-vinyl-figure/398914/
2017-04-08 00:57:02.545418,857152,398916,FUN13992,Gaming,BoJack Horseman - Mr. Peanutbutter Pop! Vinyl Figure,FUNKO,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/funko/bojack-horseman-mr-peanutbutter-pop-vinyl-figure/398916/
