2017-05-09 00:39:11.972420,857627,444532,55N4,TV & Home Entertainment,Hisense 55N4 55" FHD Smart LED LCD TV,HISENSE,2017-04-24,https://www.jbhifi.com.au/tv-home-entertainment/hd-televisions/hisense/hisense-55n4-55-fhd-smart-led-lcd-tv/444532/
2017-05-09 01:02:43.406904,858803,445865,FUN11811,Gaming,Teen Titans Go! - Blackfire Pop! Vinyl Figure,FUNKO,2017-05-11,https://www.jbhifi.com.au/games-consoles/platforms/funko/teen-titans-go-blackfire-pop-vinyl-figure/445865/
2017-05-09 01:02:47.921745,858802,445864,FUN11788,Gaming,Sleeping Beauty - Maleficent with Flames Pop! Vinyl Figure,FUNKO,2017-05-11,https://www.jbhifi.com.au/games-consoles/platforms/funko/sleeping-beauty-maleficent-with-flames-pop-vinyl-figure/445864/
2017-05-09 01:02:53.224484,858796,445850,FUN12412,Gaming,Gravity Falls - Mabelcorn Mabel Pop! Vinyl Figure,FUNKO,2017-05-10,https://www.jbhifi.com.au/games-consoles/platforms/funko/gravity-falls-mabelcorn-mabel-pop-vinyl-figure/445850/
2017-05-09 01:02:57.852708,858792,445858,FUN14063,Gaming,Peter Pan - Peter Pan Flying Pop! Vinyl Figure,FUNKO,2017-05-08,https://www.jbhifi.com.au/games-consoles/platforms/funko/peter-pan-peter-pan-flying-pop-vinyl-figure/445858/
2017-05-09 01:03:02.526921,858793,445845,FUN13015,Gaming,Captain Underpants - Captain Underpants Pop! Vinyl Figure,FUNKO,2017-05-08,https://www.jbhifi.com.au/games-consoles/platforms/funko/captain-underpants-captain-underpants-pop-vinyl-figure/445845/
2017-05-09 01:03:07.277934,858798,445846,FUN13106,Gaming,Captain Underpants - Professor Poopypants Pop! Vinyl Figure,FUNKO,2017-05-08,https://www.jbhifi.com.au/games-consoles/platforms/funko/captain-underpants-professor-poopypants-pop-vinyl-figure/445846/
2017-05-09 01:03:26.239463,858794,445849,FUN13314,Gaming,Spider-Man: Homecoming - Spider-Man Unmasked Pop! Vinyl Figure,FUNKO,2017-05-06,https://www.jbhifi.com.au/games-consoles/platforms/funko/spider-man-homecoming-spider-man-unmasked-pop-vinyl-figure/445849/
2017-05-09 01:03:31.143181,858795,445848,FUN13316,Gaming,Spider-Man: Homecoming - Spider-Man Homemmade Suit Unmasked Pop! Vinyl Figure,FUNKO,2017-05-06,https://www.jbhifi.com.au/games-consoles/platforms/funko/spider-man-homecoming-spider-man-homemmade-suit-unmasked-pop-vinyl-figure/445848/
2017-05-09 01:06:38.284242,858546,446947,MMA9203,Movies & TV Shows,Gleason,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/documentary/gleason/446947/
2017-05-09 01:06:42.911232,858637,446967,MMA9209,Movies & TV Shows,Le Ride,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/documentary/le-ride/446967/
2017-05-09 01:06:47.545620,858547,446943,NTG1240,Movies & TV Shows,Gender Revolution: A Journey With Katie Couric,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/documentary/gender-revolution-a-journey-with-katie-couric/446943/
2017-05-09 01:06:52.288739,858617,446972,MMA9212,Movies & TV Shows,Love And Time Travel,MADMAN,2017-06-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/comedy/love-and-time-travel/446972/
