2017-03-17 00:30:59.603007,820446,843658,ADJM2G,Computers & Tablets,Adonit Jot Mini Stylus (Gold),ADONIT,2015-10-21,https://www.jbhifi.com.au/computers-tablets/accessories/adonit/adonit-jot-mini-stylus-gold/843658/
2017-03-17 00:38:45.594487,851868,336035,NSW-RIME-AU,Gaming,RiME,NINTENDO SWITCH,2017-09-30,https://www.jbhifi.com.au/games-consoles/platforms/nintendo-switch/rime/336035/
2017-03-17 00:38:56.408216,852465,336918,73011(PCDIABLO3BTTLCHST),Gaming,Diablo III Battle Chest,PC GAME,2017-03-05,https://www.jbhifi.com.au/games-consoles/platforms/pc-game/diablo-iii-battle-chest/336918/
2017-03-17 00:39:04.055484,855175,354699,300090985,Gaming,Tom Clancy’s Rainbow Six: Siege Year 2 Gold Edition,XBOX ONE,2017-02-07,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/tom-clancys-rainbow-six-siege-year-2-gold-edition/354699/
2017-03-17 00:39:08.350452,855174,354698,300090973,Gaming,Tom Clancy’s Rainbow Six: Siege Year 2 Gold Edition,PLAYSTATION 4,2017-02-07,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/tom-clancys-rainbow-six-siege-year-2-gold-edition/354698/
2017-03-17 00:42:01.513271,851469,335323,BM5684,Gaming,Joy-Con Comfort Grips Black for Nintendo Switch,POWER A,2017-03-13,https://www.jbhifi.com.au/games-consoles/platforms/controller-add-on/joy-con-comfort-grips-black-for-nintendo-switch/335323/
2017-03-17 00:44:43.664794,851804,332023,PG-0025,Gaming,Next Level Racing Seat Add on,NEXT LEVEL,2017-02-20,https://www.jbhifi.com.au/games-consoles/accessories/racing-wheels/racing-wheel/next-level-racing-seat-add-on/332023/
2017-03-17 00:44:47.897558,851066,328467,PG-0010,Gaming,Next Level Racing Monitor Stand,NEXT LEVEL,2017-01-08,https://www.jbhifi.com.au/games-consoles/accessories/racing-wheels/racing-wheel/next-level-racing-monitor-stand/328467/
2017-03-17 00:44:52.258288,851087,328468,PG-0015,Gaming,Next Level Racing Floor Mat,NEXT LEVEL,2017-01-08,https://www.jbhifi.com.au/games-consoles/accessories/racing-wheels/racing-wheel/next-level-racing-floor-mat/328468/
2017-03-17 00:46:01.798360,852834,349705,MP167,Movies & TV Shows,Sheborg Massacre,GRYPHON,2017-04-19,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/horror/sheborg-massacre/349705/
2017-03-17 00:53:05.429223,852859,349698,MMA6133,Movies & TV Shows,Adventure Time: Islands Miniseries,MADMAN,2017-04-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-childrens/adventure-time-islands-miniseries/349698/
2017-03-17 00:53:09.704461,852990,349707,EYE439,Movies & TV Shows,Assassination Classroom - Movie Collection,MADMAN,2017-04-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/assassination-classroom-movie-collection/349707/
2017-03-17 00:56:49.483532,571139,430425,C-113772-9,Movies & TV Shows,Turtleman - Series 2,REEL,2013-08-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-reality/turtleman-series-2/430425/
2017-03-17 01:02:02.109392,849489,326618,DAVID3595,Movies & TV Shows,Nancy Drew...Reporter,UMBRELLA,2017-01-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/crime/nancy-drew-reporter/326618/
2017-03-17 01:02:07.167643,849497,326635,DAVID3599,Movies & TV Shows,Mickey Spillane Collection- The,UMBRELLA,2017-01-04,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/crime/mickey-spillane-collection-the/326635/
2017-03-17 01:02:24.554629,839915,984034,DAVID3541,Movies & TV Shows,Hunchback Of Notre Dame- The (1923),UMBRELLA,2016-10-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/hunchback-of-notre-dame-the-1923/984034/
2017-03-17 01:02:29.865719,837048,973213,DAVID3530,Movies & TV Shows,Steven Spielberg Presents: Amazing Stories - Season 1,UMBRELLA,2016-09-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-drama/steven-spielberg-presents-amazing-stories-season-1/973213/
