2017-03-18 00:30:59.498591,820441,843659,ADJP3B,Computers & Tablets,Adonit Jot Pro Stylus (Black),ADONIT,2015-10-21,https://www.jbhifi.com.au/computers-tablets/accessories/adonit/adonit-jot-pro-stylus-black/843659/
2017-03-18 00:36:10.391449,401022,65563,NH15BP4T,TV & Home Entertainment,Energizer Rechargeable AA Battery 4 pack - 2300 mAh,ENERGIZER,2010-11-23,https://www.jbhifi.com.au/tv-home-entertainment/tv-accessories/energizer/energizer-rechargeable-aa-battery-4-pack-2300-mah/65563/
2017-03-18 00:38:32.375560,855613,398951,398951,Gaming,Disgaea 5 Complete,NINTENDO SWITCH,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/nintendo-switch/disgaea-5-complete/398951/
2017-03-18 00:38:44.708911,855608,403952,403952,Gaming,Farming Simulator 18,NINTENDO 3DS,2017-06-30,https://www.jbhifi.com.au/games-consoles/platforms/nintendo-3ds/farming-simulator-18/403952/
2017-03-18 00:38:56.791456,849576,327557,327557,Gaming,Uncharted: The Lost Legacy,PLAYSTATION 4,2017-12-31,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/uncharted-the-lost-legacy/327557/
2017-03-18 00:39:01.105068,850718,331985,331985,Gaming,Knack 2,PLAYSTATION 4,2017-12-31,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/knack-2/331985/
2017-03-18 00:39:14.105427,836516,971199,99200,Gaming,Nintendo Switch Console Grey,NINTENDO SWITCH,2017-03-03,https://www.jbhifi.com.au/games-consoles/games/gaming-consoles/nintendo-switch-console/nintendo-switch-console-grey/971199/
2017-03-18 00:42:04.520218,846889,321957,43052,Gaming,Nintendo Switch Pro Controller,NINTENDO SWITCH,2017-03-03,https://www.jbhifi.com.au/games-consoles/platforms/controller/nintendo-switch-pro-controller/321957/
2017-03-18 00:45:24.386652,855577,350364,R-126060-9,Movies & TV Shows,Miss Sloane,ROADSHOW,2017-06-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/miss-sloane/350364/
2017-03-18 00:45:28.463411,855578,350368,350368,Movies & TV Shows,Miss Sloane,ROADSHOW,2017-06-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/miss-sloane/350368/
2017-03-18 00:45:32.398479,855579,350376,R-126754-8,Movies & TV Shows,Before I Fall,ROADSHOW,2017-06-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/before-i-fall/350376/
2017-03-18 00:45:36.717510,855580,350372,R-127004-9,Movies & TV Shows,Before I Fall,ROADSHOW,2017-06-28,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/drama/before-i-fall/350372/
2017-03-18 01:03:01.549473,855596,360739,AMAZ0006,Music,Amazons- The (Limited Edition Clear Vinyl),UMA,2017-06-02,https://www.jbhifi.com.au/music/Whats-Hot/alternative-rock/amazons-the-limited-edition-clear-vinyl/360739/
2017-03-18 01:03:14.022010,855388,360741,88985418031,Music,For Crying Out Loud (180gm Vinyl),SONY,2017-04-28,https://www.jbhifi.com.au/music/Whats-Hot/alternative-rock/for-crying-out-loud-180gm-vinyl/360741/
2017-03-18 01:03:21.838991,855557,360707,ONETWO005LP,Music,Speeding (Limited Edition Opaque Baby Pink Vinyl),WARNER,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/hip-hop/speeding-limited-edition-opaque-baby-pink-vinyl/360707/
2017-03-18 01:03:26.288211,855610,360763,PTKF2147-1,Music,Death Song (Vinyl),WARNER/INERTIA,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/alternative-rock/death-song-vinyl/360763/
2017-03-18 01:03:30.759756,855615,360771,88985387101,Music,Americana (Vinyl),SONY,2017-04-21,https://www.jbhifi.com.au/music/Whats-Hot/rock-pop/americana-vinyl/360771/
2017-03-18 01:03:50.160364,852368,336407,274962,Music,Millport,WARNER,2017-03-10,https://www.jbhifi.com.au/music/browse/country-singer-songwriter/millport/336407/
2017-03-18 01:03:54.286749,853613,352434,7567866237,Music,Shack- The - Ost,WARNER,2017-03-03,https://www.jbhifi.com.au/music/browse/soundtrack/shack-the-ost/352434/
2017-03-18 01:03:58.783003,853685,352315,88985380182,Music,Digital Love,SONY MUSIC SBT,2017-03-03,https://www.jbhifi.com.au/music/browse/metal/digital-love/352315/
2017-03-18 01:04:03.023134,853686,352311,88985404272,Music,Abreaction,SONY MUSIC SBT,2017-03-03,https://www.jbhifi.com.au/music/browse/black-metal-metal/abreaction/352311/
2017-03-18 01:04:07.133668,853687,352307,9943947,Music,Charm Offensive,SONY MUSIC SBT,2017-03-03,https://www.jbhifi.com.au/music/browse/country/charm-offensive/352307/
