2017-03-21 00:30:58.200337,820443,843661,ADJP3G,Computers & Tablets,Adonit Jot Pro Stylus (Gold),ADONIT,2015-10-21,https://www.jbhifi.com.au/computers-tablets/accessories/adonit/adonit-jot-pro-stylus-gold/843661/
2017-03-21 00:36:16.130605,855104,400631,SJ4,TV & Home Entertainment,LG SJ4 300W 2.1ch Soundbar with Wireless Subwoofer,LG,2017-03-07,https://www.jbhifi.com.au/tv-home-entertainment/soundbars/lg/lg-sj4-300w-2-1ch-soundbar-with-wireless-subwoofer/400631/
2017-03-21 00:36:20.930200,855103,400630,SJ5,TV & Home Entertainment,LG SJ5 320W 2.1ch Soundbar with Wireless Subwoofer,LG,2017-03-07,https://www.jbhifi.com.au/tv-home-entertainment/soundbars/lg/lg-sj5-320w-2-1ch-soundbar-with-wireless-subwoofer/400630/
2017-03-21 00:36:25.068779,855101,400625,SJ8,TV & Home Entertainment,LG SJ8 300W 4.1ch Soundbar with Wireless Subwoofer,LG,2017-03-07,https://www.jbhifi.com.au/tv-home-entertainment/soundbars/lg/lg-sj8-300w-4-1ch-soundbar-with-wireless-subwoofer/400625/
2017-03-21 00:38:48.589851,855604,403950,E02195,Gaming,Final Fantasy XII The Zodiac Age Limited Edition,PLAYSTATION 4,2017-07-11,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/final-fantasy-xii-the-zodiac-age-limited-edition/403950/
2017-03-21 00:38:59.947735,855679,403954,1020687,Gaming,Cities: Skylines - Xbox One Edition,XBOX ONE,2017-12-31,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/cities-skylines-xbox-one-edition/403954/
2017-03-21 00:43:35.143858,851361,331800,FUN10305,Gaming,League of Legends - Jinx Pop! Vinyl Figure,FUNKO,2017-05-31,https://www.jbhifi.com.au/games-consoles/platforms/funko/league-of-legends-jinx-pop-vinyl-figure/331800/
2017-03-21 00:46:03.286387,852964,349778,BDI6705,Movies & TV Shows,Ballerina,UNISPHE,2017-04-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/childrens/ballerina/349778/
2017-03-21 00:46:07.598416,852988,349774,DI6705,Movies & TV Shows,Ballerina,UNISPHE,2017-04-12,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/childrens/ballerina/349774/
2017-03-21 01:02:17.529804,831052,950686,MMA5455BR,Movies & TV Shows,Maken-Ki! Two Complete Series,MADMAN,2016-06-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/maken-ki-two-complete-series/950686/
2017-03-21 01:02:21.914460,831083,950656,MMA6048,Movies & TV Shows,Fairy Tail Guild - Collection 4,MADMAN,2016-06-08,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-guild-collection-4/950656/
2017-03-21 01:02:26.289756,826551,936367,MMA5326BR,Movies & TV Shows,Tokyo Esp - The Complete Series,MADMAN,2016-04-06,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/tokyo-esp-the-complete-series/936367/
2017-03-21 01:02:30.911325,824876,930172,MMA7096,Movies & TV Shows,Eureka Seven Ao - Complete Series,MADMAN,2016-03-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/eureka-seven-ao-complete-series/930172/
2017-03-21 01:02:35.638227,823355,888928,MMA5448BR,Movies & TV Shows,Dragonar Academy - Complete Series,MADMAN,2016-02-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/dragonar-academy-complete-series/888928/
2017-03-21 01:02:40.217206,823428,889158,MMA7088,Movies & TV Shows,Aquarion - The Complete Series,MADMAN,2016-02-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/aquarion-the-complete-series/889158/
2017-03-21 01:02:44.864020,823305,888989,MMA5628BR,Movies & TV Shows,Fairy Tail Collection 17,MADMAN,2016-01-13,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-17/888989/
2017-03-21 01:02:49.586560,817352,805756,MMA5608,Movies & TV Shows,Space Dandy - Part 2,MADMAN,2015-12-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/space-dandy-part-2/805756/
2017-03-21 01:02:54.077084,817435,805760,MMA5608BR,Movies & TV Shows,Space Dandy - Part 2,MADMAN,2015-12-02,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/space-dandy-part-2/805760/
2017-03-21 01:02:58.235627,813402,771602,MMA5603BR,Movies & TV Shows,Fairy Tail Collection 16,MADMAN,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-16/771602/
2017-03-21 01:03:02.437228,813400,771606,MMA5612,Movies & TV Shows,Haikyu!! - Part 2,MADMAN,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/haikyu-part-2/771606/
2017-03-21 01:03:06.802115,813518,771597,MMA5603,Movies & TV Shows,Fairy Tail Collection 16,MADMAN,2015-10-21,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-16/771597/
2017-03-21 01:03:11.547869,811185,761578,MMA5450,Movies & TV Shows,Inari Kon Kon - Series Collection,MADMAN,2015-09-16,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/inari-kon-kon-series-collection/761578/
2017-03-21 01:03:16.557759,811186,761626,MMA9911,Movies & TV Shows,One Piece (Uncut) - Collection 32,MADMAN,2015-09-16,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-32/761626/
2017-03-21 01:03:21.197023,807962,725601,MMA9056,Movies & TV Shows,Haikyu!! - Part 1,MADMAN,2015-08-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/haikyu-part-1/725601/
2017-03-21 01:03:25.632825,807845,725924,MMA5426,Movies & TV Shows,Bleach - Collection 26,MADMAN,2015-08-05,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/bleach-collection-26/725924/
2017-03-21 01:03:30.202360,803548,705140,MMA1153,Movies & TV Shows,One Piece (Uncut) - Collection 31,MADMAN,2015-06-10,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-31/705140/
2017-03-21 01:03:34.699124,802271,697683,MMA5588BR,Movies & TV Shows,Fairy Tail Collection 15,MADMAN,2015-05-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-15/697683/
2017-03-21 01:03:39.169539,802272,697679,MMA5588,Movies & TV Shows,Fairy Tail Collection 15,MADMAN,2015-05-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-15/697679/
2017-03-21 01:03:43.859891,798230,677863,MMA1152,Movies & TV Shows,One Piece (Uncut) - Collection 30,MADMAN,2015-05-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-30/677863/
2017-03-21 01:03:48.385710,802190,697854,MMA5425,Movies & TV Shows,Bleach - Collection 25,MADMAN,2015-05-20,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/bleach-collection-25/697854/
2017-03-21 01:03:52.623117,785001,587261,MMA5306,Movies & TV Shows,Ben-To - Series Collection,MADMAN,2015-04-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/ben-to-series-collection/587261/
2017-03-21 01:03:57.440826,798156,677867,MMA5303,Movies & TV Shows,Bleach - Collection 24,MADMAN,2015-03-11,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/bleach-collection-24/677867/
2017-03-21 01:04:02.113536,795168,660982,MMA1149,Movies & TV Shows,One Piece (Uncut) - Collection 29,MADMAN,2015-02-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-29/660982/
2017-03-21 01:04:06.806096,795177,660957,MMA5341,Movies & TV Shows,Fairy Tail Collection 14,MADMAN,2015-02-18,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-14/660957/
2017-03-21 01:04:11.430167,790366,638136,MMA5333,Movies & TV Shows,Fairy Tail Collection 13,MADMAN,2015-01-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-13/638136/
2017-03-21 01:04:15.960788,790398,638159,MMA1147,Movies & TV Shows,One Piece (Uncut) - Collection 28,MADMAN,2015-01-07,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/one-piece-uncut-collection-28/638159/
2017-03-21 01:04:20.410133,790377,637868,MMA5329,Movies & TV Shows,Ninja Scroll,MADMAN,2014-11-26,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/ninja-scroll/637868/
2017-03-21 01:04:24.954545,790384,637848,MMA5327,Movies & TV Shows,Fairy Tail Collection 12,MADMAN,2014-11-26,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/fairy-tail-collection-12/637848/
2017-03-21 01:04:29.381601,788201,624153,MMA5279,Movies & TV Shows,Kill La Kill - Volume 1,MADMAN,2014-10-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/kill-la-kill-volume-1/624153/
2017-03-21 01:04:33.675080,788252,624197,MMA8879,Movies & TV Shows,Mobile Suit Gundam - Series Collection,MADMAN,2014-10-15,https://www.jbhifi.com.au/movies-tv-shows/movies-tv-shows-on-sale/tv-anime/mobile-suit-gundam-series-collection/624197/
