2017-03-24 00:32:04.086622,754496,436148,LAPS113PURCASEL,Computers & Tablets,Case Logic 13" Laptop Sleeve (Purple),CASE LOGIC,2013-07-24,https://www.jbhifi.com.au/computers-tablets/all-computers--tablets/case-logic/case-logic-13-laptop-sleeve-purple/436148/
2017-03-24 00:41:41.625376,852137,336895,43063,Gaming,Nintendo Switch Joy-Con Wheel Pair,NINTENDO SWITCH,2017-04-28,https://www.jbhifi.com.au/games-consoles/platforms/racing-wheel/nintendo-switch-joy-con-wheel-pair/336895/
2017-03-24 00:42:19.478414,854892,358759,3592415,Gaming,Elgato Stream Deck,ELGATO,2017-04-24,https://www.jbhifi.com.au/games-consoles/platforms/game-capture/elgato-stream-deck/358759/
2017-03-24 01:02:37.020259,856022,421986,PTKF2146-3,Music,Cigarettes After Sex (Limited Edition Grey Vinyl),WARNER/INERTIA,2017-06-09,https://www.jbhifi.com.au/music/Whats-Hot/alternative/cigarettes-after-sex-limited-edition-grey-vinyl/421986/
2017-03-24 01:04:29.865457,855134,360494,COOKLP656,Music,Midnight (Vinyl),UMA,2017-03-31,https://www.jbhifi.com.au/music/Whats-Hot/singer-songwriter/midnight-vinyl/360494/
2017-03-24 01:04:38.755525,855811,360881,FIRELP476,Music,Under The Pines (Vinyl),ROCKET LOCAL,2017-03-24,https://www.jbhifi.com.au/music/Whats-Hot/alternative/under-the-pines-vinyl/360881/
2017-03-24 01:06:38.933704,855812,360865,AVSCD079,Music,Lock Up Your Mothers... Live,ROCKET LOCAL,2017-03-24,https://www.jbhifi.com.au/music/browse/rock/lock-up-your-mothers-live/360865/
2017-03-24 01:06:59.734572,855546,360695,THRILL433CD,Music,Song Of The Rose,ROCKET LOCAL,2017-03-24,https://www.jbhifi.com.au/music/browse/alternative/song-of-the-rose/360695/
2017-03-24 01:07:12.218613,855999,421978,ITH69CD,Music,Defected Presents Franky Rizardo In The House,WARNER,2017-04-07,https://www.jbhifi.com.au/music/browse/dance/defected-presents-franky-rizardo-in-the-house/421978/
2017-03-24 01:08:08.202511,855813,360817,KSCOPE474,Music,Not The Weapon But The Hand (Reissue),ROCKET LOCAL,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/not-the-weapon-but-the-hand-reissue/360817/
2017-03-24 01:08:13.155724,855816,360873,KSCOPE359,Music,Chapters (Reissue),ROCKET LOCAL,2017-03-24,https://www.jbhifi.com.au/music/browse/metal-hard-rock/chapters-reissue/360873/
