2017-04-25 00:33:18.296299,395391,69269,LJDS70-32GABANZ,Computers & Tablets,Lexar Jump Drive S70 32GB USB (Orange),LEXAR,2011-06-06,https://www.jbhifi.com.au/computers-tablets/all-computers--tablets/lexar/lexar-jump-drive-s70-32gb-usb-orange/69269/
2017-04-25 00:53:08.741484,857730,444559,PR2CSTP4PEAU,Gaming,Prey,PLAYSTATION 4,2017-05-05,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/prey/444559/
2017-04-25 00:53:13.261849,857733,444558,PR2CSTPCPEAU,Gaming,Prey,PC GAME,2017-05-05,https://www.jbhifi.com.au/games-consoles/platforms/pc-game/prey/444558/
2017-04-25 00:53:17.982789,857734,444560,PR2CSTX1PEAU,Gaming,Prey,XBOX ONE,2017-05-05,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/prey/444560/
2017-04-25 00:53:31.525826,857538,442182,SEGA-PC176-AU,Gaming,Endless Space 2,PLAYSTATION 4,2017-05-19,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/endless-space-2/442182/
2017-04-25 00:53:35.961981,857752,358766,KTEPS4-0075,Gaming,Samurai Warriors: Spirit of Sanada,PLAYSTATION 4,2017-05-26,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/samurai-warriors-spirit-of-sanada/358766/
2017-04-25 00:54:02.847450,857735,358748,MXMPS4-0055,Gaming,The Golf Club 2,PLAYSTATION 4,2017-06-20,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/the-golf-club-2/358748/
2017-04-25 00:54:07.632036,857736,358753,MXMXBO-0055,Gaming,The Golf Club 2,XBOX ONE,2017-06-20,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/the-golf-club-2/358753/
2017-04-25 00:54:15.695055,857854,444569,444569,Gaming,Agents of Mayhem,PC GAME,2017-08-18,https://www.jbhifi.com.au/games-consoles/platforms/pc-game/agents-of-mayhem/444569/
2017-04-25 00:54:28.203810,857611,442183,SOSM0732,Gaming,Aven Colony,PLAYSTATION 4,2017-12-31,https://www.jbhifi.com.au/games-consoles/platforms/playstation-4/aven-colony/442183/
2017-04-25 00:54:32.604470,857616,442184,SOSM0742,Gaming,Aven Colony,XBOX ONE,2017-12-31,https://www.jbhifi.com.au/games-consoles/platforms/xbox-one/aven-colony/442184/
