ID          SKU         ModelID     category             title                           brand       releaseDate  URL                                                                                            
----------  ----------  ----------  -------------------  ------------------------------  ----------  -----------  -----------------------------------------------------------------------------------------------
844273      317347      MID-786     Computers & Tablets  Laser MID786 7" Android Tablet  LASER       2016-10-03   https://www.jbhifi.com.au/computers-tablets/tablets/laser/laser-mid786-7-android-tablet/317347/
846566      314282      ZA0R0070AU  Computers & Tablets  Lenovo Tab 3 A7-10 7" Tablet    LENOVO      2016-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-tab-3-a7-10-7-tablet/314282/ 
837963      956464      SM-T280NZW  Computers & Tablets  Samsung Galaxy Tab A 7.0" Wi-F  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-a-7-0-wi-fi-8gb-
837491      956461      ZA090060AU  Computers & Tablets  Lenovo Yoga Tab3 16GB 8" Table  LENOVO      2016-07-11   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-yoga-tab3-16gb-8-tablet/95646
804936      672178      SM-T350NZW  Computers & Tablets  Samsung Galaxy Tab A 8.0 WiFi   SAMSUNG     2015-05-22   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-a-8-0-wifi-16gb-
837490      956462      ZA0H0066AU  Computers & Tablets  Lenovo Yoga Tab3 16GB 10" Tabl  LENOVO      2016-07-11   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-yoga-tab3-16gb-10-tablet/9564
840280      943564      ZA0X0006AU  Computers & Tablets  Lenovo Tab 3 10" BusinessTable  LENOVO      2016-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-tab-3-10-businesstablet/94356
763743      484272      ME277X/A    Computers & Tablets  Apple iPad mini 2 32GB Wi-Fi (  APPLE       2013-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-2-32gb-wi-fi-space-gr
763745      484271      ME280X/A    Computers & Tablets  Apple iPad mini 2 32GB Wi-Fi (  APPLE       2013-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-2-32gb-wi-fi-silver/4
837962      956465      SM-T580NZW  Computers & Tablets  Samsung Galaxy Tab A 10.1" Wi-  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-a-10-1-wi-fi-16g
843503      314263      80SG00ASAU  Computers & Tablets  Lenovo MIIX 310 2-in1 Tablet    LENOVO      2016-10-01   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-miix-310-2-in1-tablet/314263/
804937      672182      SM-T355YZW  Computers & Tablets  Samsung Galaxy Tab A 8.0 LTE 1  SAMSUNG     2015-05-22   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-a-8-0-lte-16gb-w
763763      484279      ME824X/A    Computers & Tablets  Apple iPad mini 2 32GB Wi-Fi +  APPLE       2013-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-2-32gb-wi-fi-cellular
837970      956467      SM-T713NZK  Computers & Tablets  Samsung Galaxy Tab S2 8.0" Wi-  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-s2-8-0-wi-fi-32g
846897      324367      ZA1N0039NZ  Computers & Tablets  Lenovo Yoga Tab 3 Plus+ 10" Ta  LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-yoga-tab-3-plus-10-tablet/324
837971      956466      SM-P585YZK  Computers & Tablets  Samsung Galaxy Tab A S Pen 10.  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-a-s-pen-10-1-lte
843486      314338      MNY22X/A    Computers & Tablets  Apple iPad mini 4 32GB Wi-Fi (  APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-32gb-wi-fi-silver/3
843485      314342      MNY32X/A    Computers & Tablets  Apple iPad mini 4 32GB Wi-Fi (  APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-32gb-wi-fi-gold/314
843487      314334      MNY12X/A    Computers & Tablets  Apple iPad mini 4 32GB Wi-Fi (  APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-32gb-wi-fi-space-gr
843491      954258      MNV72X/A    Computers & Tablets  Apple iPad Air 2 32GB Wi-Fi (G  APPLE       2016-09-16   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-32gb-wi-fi-gold/9542
843528      954253      MNV62X/A    Computers & Tablets  Apple iPad Air 2 32GB Wi-Fi (S  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-32gb-wi-fi-silver/95
843529      954249      MNV22X/A    Computers & Tablets  Apple iPad Air 2 32GB Wi-Fi (S  APPLE       2016-09-16   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-32gb-wi-fi-space-gre
846896      324368      ZA1S0005AU  Computers & Tablets  Lenovo Yoga Tab 3 Plus+ LTE Ta  LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-yoga-tab-3-plus-lte-tablet/32
837969      956468      SM-T719YZK  Computers & Tablets  Samsung Galaxy Tab S2 8.0" LTE  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-s2-8-0-lte-32gb-
837973      956469      SM-T813NZW  Computers & Tablets  Samsung Galaxy Tab S2 9.7" WiF  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-s2-9-7-wifi-64gb
837979      956471      SM-T813NZK  Computers & Tablets  Samsung Galaxy Tab S2 9.7" WiF  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-s2-9-7-wifi-64gb
792760      650477      MH1J2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi (  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-gold/650
792761      650478      MGTY2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi (  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-silver/6
817219      807067      MK9P2X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-silver/
817221      807065      MK9Q2X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-gold/80
817222      807068      MK9N2X/A    Computers & Tablets  Apple iPad mini 4 128GB Wi-Fi   APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-128gb-wi-fi-space-g
792762      650479      MGTX2X/A    Computers & Tablets  Apple iPad Air 2 128GB Wi-Fi (  APPLE       2014-10-17   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-128gb-wi-fi-space-gr
843492      954262      MNVP2X/A    Computers & Tablets  Apple iPad Air 2 32GB Wi-Fi +   APPLE       2016-09-16   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-air-2-32gb-wi-fi-cellular-
843488      314330      MNWG2X/A    Computers & Tablets  Apple iPad mini 4 32GB Wi-Fi +  APPLE       2015-09-10   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-ipad-mini-4-32gb-wi-fi-cellular
843504      314265      ZA0V0096AU  Computers & Tablets  Lenovo Yoga Book 64GB Android   LENOVO      2016-11-01   https://www.jbhifi.com.au/computers-tablets/tablets/lenovo/lenovo-yoga-book-64gb-android-tablet
830079      947880      MM172X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-ro
830060      947906      MLMQ2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-go
830052      947898      MLMN2X/A    Computers & Tablets  Apple 9.7-inch iPad Pro 32GB W  APPLE       2016-03-31   https://www.jbhifi.com.au/computers-tablets/tablets/apple/apple-9-7-inch-ipad-pro-32gb-wi-fi-sp
837974      956472      SM-T819YZK  Computers & Tablets  Samsung Galaxy Tab S2 9.7" LTE  SAMSUNG     2016-09-05   https://www.jbhifi.com.au/computers-tablets/tablets/samsung/samsung-galaxy-tab-s2-9-7-lte-64gb-
